0,Kanamycin,Ampicillin,Norfloxacin,Rifampicin,Ethanol,Glutaraldehyde,Isopropanol,Bezalkonium_chloride,Chlorexidine,Sodium_hypochlorite,Percetic_acid,Povidone_iodine,Phenol,H2O2
Kanamycin,1.0,0.4424972617743702,0.43333333333333335,0.49542217700915564,0.09375,0.296875,0.15625,0.31353919239904987,0.4302059496567506,0.03125,0.265625,0.3724696356275304,0.5,0.03125
Ampicillin,0.4424972617743702,1.0,0.36666666666666664,0.47913279132791325,0.09375,0.296875,0.15625,0.34623217922606925,0.47484909456740443,0.03125,0.265625,0.40234375,0.5,0.03125
Norfloxacin,0.43333333333333335,0.36666666666666664,1.0,0.4654122855561704,0.09375,0.296875,0.15625,0.34475806451612906,0.4839357429718876,0.03125,0.265625,0.40234375,0.5,0.03125
Rifampicin,0.49542217700915564,0.47913279132791325,0.4654122855561704,1.0,0.09375,0.296875,0.15625,0.3431372549019608,0.48140900195694714,0.03125,0.265625,0.40234375,0.5,0.03125
Ethanol,0.09375,0.09375,0.09375,0.09375,1.0,0.08695652173913043,0.6,0.09523809523809523,0.09523809523809523,0.0,0.35294117647058826,0.0847457627118644,0.0,0.0
Glutaraldehyde,0.296875,0.296875,0.296875,0.296875,0.08695652173913043,1.0,0.20833333333333334,0.30158730158730157,0.28125,0.10526315789473684,0.2,0.3050847457627119,0.3076923076923077,0.0
Isopropanol,0.15625,0.15625,0.15625,0.15625,0.6,0.20833333333333334,1.0,0.15873015873015872,0.15873015873015872,0.0,0.35,0.15254237288135594,0.07692307692307693,0.0
Bezalkonium_chloride,0.31353919239904987,0.34623217922606925,0.34475806451612906,0.3431372549019608,0.09523809523809523,0.30158730158730157,0.15873015873015872,1.0,0.34824281150159747,0.031746031746031744,0.25,0.34065934065934067,0.5079365079365079,0.031746031746031744
Chlorexidine,0.4302059496567506,0.47484909456740443,0.4839357429718876,0.48140900195694714,0.09523809523809523,0.28125,0.15873015873015872,0.34824281150159747,1.0,0.031746031746031744,0.2698412698412698,0.3961352657004831,0.5079365079365079,0.031746031746031744
Sodium_hypochlorite,0.03125,0.03125,0.03125,0.03125,0.0,0.10526315789473684,0.0,0.031746031746031744,0.031746031746031744,1.0,0.0,0.034482758620689655,0.030303030303030304,0.0
Percetic_acid,0.265625,0.265625,0.265625,0.265625,0.35294117647058826,0.2,0.35,0.25,0.2698412698412698,0.0,1.0,0.2711864406779661,0.13953488372093023,0.11764705882352941
Povidone_iodine,0.3724696356275304,0.40234375,0.40234375,0.40234375,0.0847457627118644,0.3050847457627119,0.15254237288135594,0.34065934065934067,0.3961352657004831,0.034482758620689655,0.2711864406779661,1.0,0.5254237288135594,0.034482758620689655
Phenol,0.5,0.5,0.5,0.5,0.0,0.3076923076923077,0.07692307692307693,0.5079365079365079,0.5079365079365079,0.030303030303030304,0.13953488372093023,0.5254237288135594,1.0,0.0625
H2O2,0.03125,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.031746031746031744,0.031746031746031744,0.0,0.11764705882352941,0.034482758620689655,0.0625,1.0
